"","desokod","upplåtelseform","år","Antal"
"324","0360C1020","uppgift saknas",2024,0
"325","0360C1030","hyresrätt",2024,165
"326","0360C1030","bostadsrätt",2024,162
"327","0360C1030","äganderätt",2024,299
"328","0360C1030","uppgift saknas",2024,0
"329","Tierp (Karlholm)","hyresrätt",2024,337
"330","Tierp (Karlholm)","bostadsrätt",2024,0
"331","Tierp (Karlholm)","äganderätt",2024,397
"332","Tierp (Karlholm)","uppgift saknas",2024,0
"333","Tierp (Mehedeby-Tobo)","hyresrätt",2024,274
"334","Tierp (Mehedeby-Tobo)","bostadsrätt",2024,56
"335","Tierp (Mehedeby-Tobo)","äganderätt",2024,1131
"336","Tierp (Mehedeby-Tobo)","uppgift saknas",2024,0
"337","Tierp (Månkarbo-Vendel)","hyresrätt",2024,128
"338","Tierp (Månkarbo-Vendel)","bostadsrätt",2024,14
"339","Tierp (Månkarbo-Vendel)","äganderätt",2024,851
"340","Tierp (Månkarbo-Vendel)","uppgift saknas",2024,0
"341","Tierp (Skärplinge-Hållnäs)","hyresrätt",2024,250
"342","Tierp (Skärplinge-Hållnäs)","bostadsrätt",2024,55
"343","Tierp (Skärplinge-Hållnäs)","äganderätt",2024,1039
"344","Tierp (Skärplinge-Hållnäs)","uppgift saknas",2024,4
"345","Tierp (Söderfors)","hyresrätt",2024,469
"346","Tierp (Söderfors)","bostadsrätt",2024,48
"347","Tierp (Söderfors)","äganderätt",2024,356
"348","Tierp (Söderfors)","uppgift saknas",2024,0
"349","Tierp (Tierp Centrum-Tierp Norra)","hyresrätt",2024,601
"350","Tierp (Tierp Centrum-Tierp Norra)","bostadsrätt",2024,397
"351","Tierp (Tierp Centrum-Tierp Norra)","äganderätt",2024,721
"352","Tierp (Tierp Centrum-Tierp Norra)","uppgift saknas",2024,0
"353","Tierp (Tierp Södra)","hyresrätt",2024,1013
"354","Tierp (Tierp Södra)","bostadsrätt",2024,391
"355","Tierp (Tierp Södra)","äganderätt",2024,261
"356","Tierp (Tierp Södra)","uppgift saknas",2024,0
"357","Tierp (Västland)","hyresrätt",2024,43
"358","Tierp (Västland)","bostadsrätt",2024,0
"359","Tierp (Västland)","äganderätt",2024,443
"360","Tierp (Västland)","uppgift saknas",2024,1
"361","Tierp (Örbyhus)","hyresrätt",2024,464
"362","Tierp (Örbyhus)","bostadsrätt",2024,185
"363","Tierp (Örbyhus)","äganderätt",2024,564
"364","Tierp (Örbyhus)","uppgift saknas",2024,0
"365","0380A0010","hyresrätt",2024,58
"366","0380A0010","bostadsrätt",2024,0
"367","0380A0010","äganderätt",2024,562
"368","0380A0010","uppgift saknas",2024,0
"369","0380A0020","hyresrätt",2024,81
"370","0380A0020","bostadsrätt",2024,26
"371","0380A0020","äganderätt",2024,936
"372","0380A0020","uppgift saknas",2024,1
"373","0380A0030","hyresrätt",2024,94
"374","0380A0030","bostadsrätt",2024,39
"375","0380A0030","äganderätt",2024,620
"376","0380A0030","uppgift saknas",2024,0
"377","0380A0040","hyresrätt",2024,43
"378","0380A0040","bostadsrätt",2024,0
"379","0380A0040","äganderätt",2024,743
"380","0380A0040","uppgift saknas",2024,3
"381","0380A0050","hyresrätt",2024,158
"382","0380A0050","bostadsrätt",2024,15
"383","0380A0050","äganderätt",2024,692
"384","0380A0050","uppgift saknas",2024,0
"385","0380A0060","hyresrätt",2024,51
"386","0380A0060","bostadsrätt",2024,0
"387","0380A0060","äganderätt",2024,682
"388","0380A0060","uppgift saknas",2024,1
"389","0380A0070","hyresrätt",2024,60
"390","0380A0070","bostadsrätt",2024,45
"391","0380A0070","äganderätt",2024,528
"392","0380A0070","uppgift saknas",2024,0
"393","0380A0080","hyresrätt",2024,172
"394","0380A0080","bostadsrätt",2024,99
"395","0380A0080","äganderätt",2024,341
"396","0380A0080","uppgift saknas",2024,4
"397","0380A0090","hyresrätt",2024,32
"398","0380A0090","bostadsrätt",2024,18
"399","0380A0090","äganderätt",2024,469
"400","0380A0090","uppgift saknas",2024,0
"401","0380A0100","hyresrätt",2024,51
"402","0380A0100","bostadsrätt",2024,73
"403","0380A0100","äganderätt",2024,352
"404","0380A0100","uppgift saknas",2024,1
"405","0380A0110","hyresrätt",2024,5
"406","0380A0110","bostadsrätt",2024,0
"407","0380A0110","äganderätt",2024,382
"408","0380A0110","uppgift saknas",2024,0
"409","0380A0120","hyresrätt",2024,42
"410","0380A0120","bostadsrätt",2024,0
"411","0380A0120","äganderätt",2024,882
"412","0380A0120","uppgift saknas",2024,0
"413","0380A0130","hyresrätt",2024,22
"414","0380A0130","bostadsrätt",2024,0
"415","0380A0130","äganderätt",2024,667
"416","0380A0130","uppgift saknas",2024,2
"417","0380A0140","hyresrätt",2024,42
"418","0380A0140","bostadsrätt",2024,0
"419","0380A0140","äganderätt",2024,588
"420","0380A0140","uppgift saknas",2024,0
"421","0380A0150","hyresrätt",2024,37
"422","0380A0150","bostadsrätt",2024,39
"423","0380A0150","äganderätt",2024,935
"424","0380A0150","uppgift saknas",2024,5
"425","0380A0160","hyresrätt",2024,98
"426","0380A0160","bostadsrätt",2024,52
"427","0380A0160","äganderätt",2024,855
"428","0380A0160","uppgift saknas",2024,0
"429","0380B2010","hyresrätt",2024,105
"430","0380B2010","bostadsrätt",2024,149
"431","0380B2010","äganderätt",2024,358
"432","0380B2010","uppgift saknas",2024,0
"433","0380B2020","hyresrätt",2024,17
"434","0380B2020","bostadsrätt",2024,0
"435","0380B2020","äganderätt",2024,340
"436","0380B2020","uppgift saknas",2024,0
"437","0380B2030","hyresrätt",2024,39
"438","0380B2030","bostadsrätt",2024,0
"439","0380B2030","äganderätt",2024,563
"440","0380B2030","uppgift saknas",2024,0
"441","0380B2040","hyresrätt",2024,135
"442","0380B2040","bostadsrätt",2024,64
"443","0380B2040","äganderätt",2024,431
"444","0380B2040","uppgift saknas",2024,0
"445","0380B3010","hyresrätt",2024,2
"446","0380B3010","bostadsrätt",2024,0
"447","0380B3010","äganderätt",2024,472
"448","0380B3010","uppgift saknas",2024,0
"449","0380B3020","hyresrätt",2024,81
"450","0380B3020","bostadsrätt",2024,42
"451","0380B3020","äganderätt",2024,320
"452","0380B3020","uppgift saknas",2024,0
"453","0380B3030","hyresrätt",2024,16
"454","0380B3030","bostadsrätt",2024,0
"455","0380B3030","äganderätt",2024,480
"456","0380B3030","uppgift saknas",2024,0
"457","0380B4010","hyresrätt",2024,43
"458","0380B4010","bostadsrätt",2024,66
"459","0380B4010","äganderätt",2024,527
"460","0380B4010","uppgift saknas",2024,0
"461","0380B4020","hyresrätt",2024,168
"462","0380B4020","bostadsrätt",2024,42
"463","0380B4020","äganderätt",2024,491
"464","0380B4020","uppgift saknas",2024,0
"465","0380B5011","hyresrätt",2024,129
"466","0380B5011","bostadsrätt",2024,84
"467","0380B5011","äganderätt",2024,336
"468","0380B5011","uppgift saknas",2024,0
"469","0380B5012","hyresrätt",2024,83
"470","0380B5012","bostadsrätt",2024,44
"471","0380B5012","äganderätt",2024,455
"472","0380B5012","uppgift saknas",2024,0
"473","0380B6011","hyresrätt",2024,47
"474","0380B6011","bostadsrätt",2024,55
"475","0380B6011","äganderätt",2024,185
"476","0380B6011","uppgift saknas",2024,0
"477","0380B6012","hyresrätt",2024,11
"478","0380B6012","bostadsrätt",2024,26
"479","0380B6012","äganderätt",2024,204
"480","0380B6012","uppgift saknas",2024,0
"481","0380B7010","hyresrätt",2024,113
"482","0380B7010","bostadsrätt",2024,6
"483","0380B7010","äganderätt",2024,461
"484","0380B7010","uppgift saknas",2024,0
"485","0380B8010","hyresrätt",2024,133
"486","0380B8010","bostadsrätt",2024,71
"487","0380B8010","äganderätt",2024,343
"488","0380B8010","uppgift saknas",2024,0
"489","0380C1010","hyresrätt",2024,7
"490","0380C1010","bostadsrätt",2024,0
"491","0380C1010","äganderätt",2024,347
"492","0380C1010","uppgift saknas",2024,0
"493","0380C1020","hyresrätt",2024,41
"494","0380C1020","bostadsrätt",2024,29
"495","0380C1020","äganderätt",2024,458
"496","0380C1020","uppgift saknas",2024,0
"497","0380C1030","hyresrätt",2024,60
"498","0380C1030","bostadsrätt",2024,0
"499","0380C1030","äganderätt",2024,481
"500","0380C1030","uppgift saknas",2024,0
"501","0380C1040","hyresrätt",2024,30
"502","0380C1040","bostadsrätt",2024,88
"503","0380C1040","äganderätt",2024,454
"504","0380C1040","uppgift saknas",2024,0
"505","0380C1050","hyresrätt",2024,36
"506","0380C1050","bostadsrätt",2024,218
"507","0380C1050","äganderätt",2024,472
"508","0380C1050","uppgift saknas",2024,0
"509","0380C1060","hyresrätt",2024,238
"510","0380C1060","bostadsrätt",2024,33
"511","0380C1060","äganderätt",2024,322
"512","0380C1060","uppgift saknas",2024,0
"513","0380C1070","hyresrätt",2024,571
"514","0380C1070","bostadsrätt",2024,81
"515","0380C1070","äganderätt",2024,0
"516","0380C1070","uppgift saknas",2024,0
"517","0380C1080","hyresrätt",2024,114
"518","0380C1080","bostadsrätt",2024,429
"519","0380C1080","äganderätt",2024,0
"520","0380C1080","uppgift saknas",2024,0
"521","0380C1090","hyresrätt",2024,0
"522","0380C1090","bostadsrätt",2024,360
"523","0380C1090","äganderätt",2024,51
"524","0380C1090","uppgift saknas",2024,0
"525","0380C1100","hyresrätt",2024,619
"526","0380C1100","bostadsrätt",2024,0
"527","0380C1100","äganderätt",2024,0
"528","0380C1100","uppgift saknas",2024,0
"529","0380C1110","hyresrätt",2024,470
"530","0380C1110","bostadsrätt",2024,483
"531","0380C1110","äganderätt",2024,0
"532","0380C1110","uppgift saknas",2024,0
"533","0380C1120","hyresrätt",2024,9
"534","0380C1120","bostadsrätt",2024,0
"535","0380C1120","äganderätt",2024,306
"536","0380C1120","uppgift saknas",2024,0
"537","0380C1130","hyresrätt",2024,601
"538","0380C1130","bostadsrätt",2024,0
"539","0380C1130","äganderätt",2024,0
"540","0380C1130","uppgift saknas",2024,0
"541","0380C1140","hyresrätt",2024,434
"542","0380C1140","bostadsrätt",2024,315
"543","0380C1140","äganderätt",2024,0
"544","0380C1140","uppgift saknas",2024,0
"545","0380C1150","hyresrätt",2024,739
"546","0380C1150","bostadsrätt",2024,0
"547","0380C1150","äganderätt",2024,19
"548","0380C1150","uppgift saknas",2024,0
"549","0380C1160","hyresrätt",2024,668
"550","0380C1160","bostadsrätt",2024,0
"551","0380C1160","äganderätt",2024,0
"552","0380C1160","uppgift saknas",2024,0
"553","0380C1170","hyresrätt",2024,166
"554","0380C1170","bostadsrätt",2024,153
"555","0380C1170","äganderätt",2024,144
"556","0380C1170","uppgift saknas",2024,0
"557","0380C1180","hyresrätt",2024,444
"558","0380C1180","bostadsrätt",2024,177
"559","0380C1180","äganderätt",2024,47
"560","0380C1180","uppgift saknas",2024,0
"561","0380C1190","hyresrätt",2024,147
"562","0380C1190","bostadsrätt",2024,358
"563","0380C1190","äganderätt",2024,114
"564","0380C1190","uppgift saknas",2024,0
"565","0380C1200","hyresrätt",2024,5
"566","0380C1200","bostadsrätt",2024,20
"567","0380C1200","äganderätt",2024,382
